KEY,de-DE
,
,
!!!overheatalert!!!,ÜBERHITZUNGSWARNUNG
!!!shutdownalert!!!,!!! ABSCHALTWARNUNG !!!
!surrender!,! KAPITULATION !
({0}h),( {0} W )
({0}h^{1}st),( {0} H {1} ST )
({0}st),( {0} ST )
(100)-dariusarrangesthebribe*,(100)-Darius kümmert sich um das Schmiergeld.
(bkt_allyunit-damaged)analliedunitistakingdamage!,(Bkt_AllyUnit-Damaged) Eine verbündete Einheit erleidet Schaden!
(bkt_allyunit-destroyed)alliedunitdown^commander*,(Bkt_AllyUnit-Destroyed) Verbündete Einheit zerstört Commander.
(bkt_allyunit-onearrived)analliedunithasreacheditsdestination!makesurethattherestgettheresafelyaswell!,(Bkt_AllyUnit-OneArrived) Eine verbündete Einheit hat ihr Ziel erreicht! Sorgen Sie dafür dass die anderen ebenfalls sicher ankommen!
(class:{0}),( Klasse: {0} )
(currentfactionreputation={0}),(Aktueller Fraktionsruf = {0})
(currentfactionreputation=19),(Aktueller Fraktionsruf = 19)
(custom),(benutzerdefiniert)
(damaged),(BESCHÄDIGT)
(debugmode)autocomplete:{0},(DEBUG-MODUS) Autom. abschließen: {0}
(debugmode)starting:{0},(DEBUG-MODUS) Starten: {0}
(employer){0}{1}{2}reputation,• (AUFTRAGGEBER) {0}{1} {2} Ruf
(fauxobjective)artilleryhitsin,(Falsches Ziel) Artillerie trifft in
(flashpointname),(Flashpoint-Name)
(flashpointname)ii,(Flashpoint-Name) II
(flashpointname)iii,(Flashpoint-Name) III
(generous),(Großzügig)
(hidden)allprimarytargetsdestroyedflag,(HIDDEN) AllPrimaryTargetsDestroyedFlag
(hidden)empty_employer_isactiveflag_primary,(HIDDEN) Empty_Employer_IsActiveFlag_Primary
(hidden)empty_employer_isactiveflag_secondary,(HIDDEN) Empty_Employer_IsActiveFlag_Secondary
(hidden)empty_employerally_isactiveflag_primary,(HIDDEN) Empty_EmployerAlly_IsActiveFlag_Primary
(hidden)empty_employerally_isactiveflag_secondary,(HIDDEN) Empty_EmployerAlly_IsActiveFlag_Secondary
(hidden)emptydoadditonalforces2primaryautocompleteflag,(HIDDEN) Empty Do Additonal Forces 2 Primary Autocomplete Flag
(hidden)emptydoadditonalforces2secondaryautocompleteflag,(HIDDEN) Empty Do Additonal Forces 2 Secondary Autocomplete Flag
(hidden)emptydoadditonalforcesprimaryautocompleteflag,(HIDDEN) Empty Do Additonal Forces Primary Autocomplete Flag
(hidden)emptydoadditonalforcessecondaryautocompleteflag,(HIDDEN) Empty Do Additonal Forces Secondary Autocomplete Flag
(hidden)hiddenhostiletoallaitimer,(HIDDEN) Hidden Hostile to ALL AI Timer
(hidden)hiddenhostiletoalldroptimer,(HIDDEN) Hidden Hostile to All Drop Timer
(hidden)hiddenopenplayerevacobjective,(HIDDEN) Hidden Open Player Evac Objective
(hidden)hiddentargetprimaryaiswaptimer,(HIDDEN) Hidden Target Primary AI Swap Timer
(hidden)hiddentargetprimarydroptimer,(HIDDEN) Hidden Target Primary Drop Timer
(hidden)objective_empty_firstcontractflag,(HIDDEN) Objective_Empty_FirstContractFlag
